other,BPOINT_35570,5662
other,BPOINT_42326,10432
other,CCTXN1659515,13660
other,CCTXN211245,6302
other,CCTXN1658373,3
other,CCTXN863060,2158
other,BPOINT_10874,9780
other,CCTXN1723176,8787
other,CCTXN1599331,1468
other,MMO_FAV_S_1021,14574
other,BPOINT_6595,8370
other,BPOINT_51360,14804
other,BPOINT_3877,1713
other,BPOINT_1149,2926
other,BPOINT_10669,4318
other,BPOINT_35548,4966
other,CCTXN1562620,4967
other,BPOINT_740,14580
other,BPOINT_11166,4968
other,BPOINT_11024,2881
other,BPOINT_137,2163
other,CCTXN1438614,5639
other,BPOINT_11812,2164
other,BPOINT_11947,8464
other,CCTXN667562,9787
other,CCTXN486794,9788
other,CCTXN865396,3572
other,BPOINT_4543,764
other,BPOINT_2189,15175
other,CCTXN644428,1604
other,CCTXN1702925,13202
other,BPOINT_1970,1481
other,BPOINT_9464,5650
other,CCTXN1274952,2174
other,BPOINT_34951,11145
other,CCTXN634231,9107
other,BPOINT_9693,7045
other,CCTXN330396,9799
other,BPOINT_7768,3588
other,BPOINT_7061,13208
other,CCTXN1317369,2181
other,BPOINT_12286,6334
other,CCTXN1457777,13211
other,BPOINT_2148,4280
other,CCTXN832437,3596
other,BPOINT_47010,1493
other,MMO_FAV_S_919,2511
other,CCTXN758968,6340
other,BPOINT_6683,8401
other,MMO_FAV_S_415,3074
other,CCTXN1276493,7725
other,BPOINT_10186,4289
other,BPOINT_6129,9124
other,BPOINT_42413,12490
other,BPOINT_6170,11843
other,CCTXN1201791,10067
other,BPOINT_51228,1660
other,BPOINT_6567,994
other,BPOINT_6256,4296
other,BPOINT_6473,6349
other,BPOINT_46451,8845
other,CCTXN331874,4299
other,CCTXN765530,2915
other,MMO_FAV_S_1290,7735
other,BPOINT_3977,14855
other,BPOINT_34849,7468
other,BPOINT_9502,11853
other,BPOINT_3962,10474
other,BPOINT_41834,7065
other,CCTXN609780,14063
other,BPOINT_1730,7066
other,BPOINT_34582,14482
other,BPOINT_3030,799
other,CCTXN1703086,11173
other,BPOINT_517,6361
other,BPOINT_13046,14144
other,BPOINT_1362,9397
other,BPOINT_41593,4309
other,BPOINT_973,9139
other,BPOINT_1650,2208
other,BPOINT_3888,62
other,BPOINT_19870,10627
other,CCTXN1617581,5689
other,CCTXN274589,5312
other,BPOINT_1833,4315
other,BPOINT_18923,12151
other,BPOINT_4522,449
other,BPOINT_18910,3618
other,BPOINT_4067,5789
other,BPOINT_4605,8850
other,BPOINT_13031,5696
other,BPOINT_12338,811
other,BPOINT_2687,11131
other,BPOINT_2842,5353
other,BPOINT_51204,13099
other,BPOINT_51564,3626
other,CCTXN1472910,6314
other,BPOINT_18946,8843
other,BPOINT_35908,14635
other,BPOINT_51571,2222
other,BPOINT_19363,7426
other,CCTXN1229391,7085
other,BPOINT_19792,1909
other,BPOINT_2302,7265
other,BPOINT_51372,7087
other,BPOINT_6318,4004
other,CCTXN26890,4329
other,MMO_FAV_S_294,11877
other,CCTXN498369,14765
other,BPOINT_47040,5038
product,A08_56_201606,490
other,CCTXN273874,11880
other,BPOINT_10852,7091
other,BPOINT_2518,822
other,BPOINT_11547,11364
other,BPOINT_35989,6272
other,BPOINT_10861,8998
other,MMO_FAV_S_1007,6606
other,MMO_FAV_S_493,13989
other,BPOINT_10966,5816
other,BPOINT_9830,12255
other,BPOINT_33575,3639
other,BPOINT_3415,6038
other,CCTXN191811,7930
other,BPOINT_10431,10518
other,CCTXN1696141,2243
other,BPOINT_36063,4798
other,BPOINT_36431,831
other,CCTXN622228,11216
other,BPOINT_3903,1554
other,BPOINT_51211,14248
other,BPOINT_7848,7474
other,BPOINT_42516,1558
other,BPOINT_1124,6404
other,BPOINT_1224,2957
other,BPOINT_51037,11769
other,BPOINT_3250,13273
other,BPOINT_3744,3653
other,BPOINT_450,5516
other,MMO_FAV_S_7,14586
other,BPOINT_11593,10532
other,BPOINT_11194,1563
other,CCTXN618282,6408
other,CCTXN1410956,3657
other,BPOINT_1430,5064
other,BPOINT_9822,5722
other,BPOINT_9058,846
other,BPOINT_7965,7112
other,CCTXN616019,3662
other,BPOINT_11966,2281
other,CCTXN286460,11232
other,BPOINT_2133,12549
other,BPOINT_19234,7794
other,BPOINT_12120,8673
other,BPOINT_9533,850
other,BPOINT_12444,3738
other,CCTXN1145570,1582
other,CCTXN944334,12050
other,CCTXN944748,11586
other,BPOINT_7046,7123
other,BPOINT_7093,4375
product,A08_71_201606,10943
other,CCTXN1152280,3552
other,CCTXN270371,1587
other,BPOINT_2668,12074
other,CCTXN480783,11240
other,CCTXN703150,5734
other,BPOINT_3263,5524
other,BPOINT_6527,11920
other,BPOINT_37605,12261
other,BPOINT_42261,6435
other,BPOINT_10560,7164
other,BPOINT_6619,868
other,BPOINT_42082,14029
other,BPOINT_35786,9204
other,CCTXN1238958,14692
other,BPOINT_8081,5644
other,BPOINT_10163,10556
other,BPOINT_12343,10921
other,BPOINT_36086,7810
other,BPOINT_15750,14032
other,BPOINT_55951,13234
other,BPOINT_2230,1935
other,BPOINT_6016,11186
other,BPOINT_41829,11251
