,0
D209B9B1D27D9650ED,28665
A24DFB589F9C06D2B2,74070
G203FC4A1D41F74B1B,114227
L2E695920FE1F62C3C,110237
B2108BDD41668D6879,34239
U2C798DF4D1799A105,96913
S1F4E204EA38CE1A8C,39882
G25D788511F886C338,17300
P2EFCF866D5988F7D2,97307
F1A997BC9B13933A5E,51284
R1C9A31029A74EC073,85958
N2644E86EE258B1779,45498
P228D5D8DB178E73A2,79614
S196D50E3AFED75E4D,85545
Q2228A0A5238DAB612,62693
F2CCA5C1BDC97E7D38,68373
K29CFBB8C1D29C7DCA,24917
E1A8D1602B7C88BA5A,29061
F218A5A14004155D4E,122590
H2F8463E3CA5F6A15D,39888
A2E02129D6D6199E86,86
S2C314A7E2C6356248,11454
Q2AC816C531A874A50,80228
D2DD4309138BCB30F0,102625
N2C0906BC0AE835C72,5678
M23AECBAFA1125589B,91
U163D6D60704C5362E,11457
L2523E9EDCA7C10E4B,119553
J208B20B3ACD4F6256,34651
S2805801EEB545A3A3,74493
Q2D6EB1537D7D5E298,57021
N1932EC3CD8F52F89E,34257
S2E4E9E90EAAD326A9,113859
F1AE8687FF0C9257CD,62704
A2CEDB2E78163EFC98,91761
S1F664E9DAF1D3A627,108583
S2FFF8AD1EE1993942,114673
F1A1B6E1E1B07E4C39,34261
F19399F4C312200357,28681
B2782667CE3AB8D7DE,79821
Q1CE8B4A6CBB5A0ABD,62707
Q2878C4A9E765E765D,39898
N1556F013689EE5DD7,57025
B1680365F8FFEF13CE,79822
Q27B22B6CE17EC72AC,17311
H2D737AA9966E871ED,21529
C120FBCD8D6CF82FE7,80304
Y19F7E676BD7B24A54,17312
G20926BB6124399220,96022
S23A2AE8ABEC88727A,124558
B2E74ACD4EF96952D9,62710
Q11578210B8C97FF2B,18578
A2688E42EF8E13EC2D,107
P25BB8FC5E1EDB140F,28689
J2EE38B47A33C65790,90653
D222D6B80C92792D50,90042
P276759C1209462863,109
Q2BCB4B5997A02DF95,5687
P2EF9490C4CE89BC1B,28690
A128DCEDA56DE74677,46006
A27F07369C0364C86E,5688
A2A5E4EBFE82C727D5,34270
I2B95A58C0B5C9AFA0,17314
L2A8ADBB77DC23C4F9,23137
H2151C8A276B47473C,113872
A1E2129F65D56029AC,111
S2A5F48E932461C5EE,108150
F1C75400310AE6AAAE,107059
L23BB66D935832BFF6,100062
F2973BE114F6A0A519,51307
N2389A1CDE44927C72,79830
L10AA7109FF2DEA14F,109984
I156620016915DF164,45527
M2A8E1EFC220B3B968,34276
B2BAA57E0710DDFA36,5693
F10A39998A76D32F4C,23139
H2040FE935C205E353,57034
F23E2DC109DE7B376D,85570
E28DB0D32E591A8064,124576
S14642BE2FBA06E9D0,15655
F11172B6B1B7DD3F1A,17318
K24B62EE671AF3191B,23141
P27C2932D61081D26D,113880
F2994C0250D686B881,5697
A136CB61B7D79E94BD,23144
H2DD804B4D60B626B9,100599
A1F208B03A58E19E0A,116
A23A2742C6BAB55D97,106285
K2FA7639892E435497,51312
B1C98E652BB2093C74,96948
S1B5AF565EF1703864,34786
A26345C8FD3E7CD5AF,57607
L2613F916EF5E7F4B9,51315
J2D30C8240026BC03B,34280
N249FFB0B4EA12C4A4,117519
H2C1A6582CA943703E,85575
M2FB880F4A79D1E05D,97483
J17214036290888345,17327
A2C58632902624E477,113885
A112971BCE6342CF44,107226
T279ECD170B0E1BB8F,102652
S2F94BE6DAF1BD146A,99615
F278A7B325589BCF41,28705
D1BBC7F0A2B381880D,102655
E18AD9B3E6ED069B43,96957
N2B50F0D33DC8DBBD6,79839
C2E555A4BD33A8C968,5702
A241A6E8BDDEB78352,57043
E2FE3A899D7A631490,109729
F282155BDE985FD0F1,97509
Q26A192E6AD052F207,102658
H2648824D75F07BDD9,45534
Y2CF183ECB870D278F,26747
X2CD21ABABA5F3C242,116196
M1A4ABB30CAEC36543,39100
Y2A0E0C442CC89D55A,12104
O1F080E8463D936D6F,1871
J23FF365540DF5517C,85584
A2F513925F588DFFCF,102662
F12F6ADCADAA687305,108160
A25F061F7CC9F457FC,11506
S1DE7E96F5D95A6139,17332
D101E8BCAFE7879DCB,23153
F2CC754B5C37A12073,45433
A1DFF5E8BDD1D67BAF,39916
A217BF21862B2A5B5D,62632
K20BAE6AB4B6318426,102668
Q212787222D5527417,40510
L201106F0E7DB456E1,74698
O21A4F3A8F01F3C6E3,113892
M17D0C45B727549A6F,116491
P220AC9E6A474B7FC3,22302
J24565B95D245BB6DA,91364
L2E43152C833ADEB0D,108166
M11879E52A1C559D02,39920
R2376237E02FEC8171,102671
K1CEAEEDE4931FA91F,79853
S1283997C4B576EBCD,121374
H102BBEECE905200AB,23156
K12267277B2CECA840,28714
T1730ADDB90919EBA0,23157
A2D07560B4F72AFA74,17337
L1E80F7A906585AAF3,79854
F2E4AD7075162C49EE,79758
P1E45A1F073686672B,94587
V2181FDB985E42683A,19176
N166D7D6510EBB4F92,102674
S2F29E19E401F323C0,57055
N1D903025BB8E26236,45544
x2597D5802F333A718,133
T2691E3A1F12B0B5C3,57059
F298512A8B502C32E2,57060
F2445E2EFB50740910,5718
P1F4BDE92732A4E7FB,34299
J1557AE73C5AF84136,119596
A1AD376CC10A07D621,51329
H137FB7C1C800AB787,13356
H1F6FDB4A41F600405,102678
S25CE8A5A36001B3CF,62738
F1AD6FA50D9758688B,96978
A16BF088183F42DAAD,50524
H1ACB97AA1262D36F6,74118
F281B2595096D57AC6,51223
P156542641753A5C9C,57068
A2913E91581F1D47A1,108179
F10C6AD308794630A4,45435
S15CB0B40E4D76DD0D,117524
A19094A640AD0B72D0,85604
E20EF0CBCA30AD9C0E,140
B155DDE2933CF37B03,39935
S13A09198B3C4650A4,17349
T1F92D7E8C30EE6FFD,11523
R159444B52DF5AAC63,5727
Q17B6D109A5DDB5F15,117999
B18B2829AAF5E9F4D0,39936
T2F2F3E3F460E38B9D,45558
E277067D2173EDCCAD,39937
T20A5F64CA707A3F45,28732
F10AD4E37166B12F2B,17353
F29E456BF4BB97F104,11528
F12643EB193F6D5557,91378
B188A02185A12A6435,5730
A178DBC41A82A2BC79,145
C2CAE6EAE58395EFCA,835
A1876E3C500C42E16C,17354
V2A034D928C16C0B04,57078
S2545BA0F3F9297F62,68436
R114C47EC46EBFCE24,62749
S2C7BEDEA1E8D5D475,74128
A294DF1609F9D5C4E6,11533
G2C99C10DAE524C09B,39945
S20FB28029FEF4C324,119614
B252FB778448A6EF9E,98366
K2B1F4A0DC70750939,12279
S2C13E7B75D5390692,68439
E136C9BAA066BED0CD,28740
A2846F38012378C58B,74130
H150CF95E83DCF5A2A,28742
F2A35B9E49E5EF8E0A,96989
M121EAB83C1DFD4C64,5740
E2ACE612B09ECEDC2F,11539
T2FB0647A7FD62DFC5,5741
E1B9243C7185DCD18B,45570
L23A512B5415F5F95B,1879
F2BBEEBD5DEE6D8021,156
D1C8F294D4F0343362,79877
Q169FE82F7B2C8DD21,87154
T222AA4A6CA33E3293,120016
F118343A3B5A11B427,62759
P18B0A332E237F29D1,40676
L252ADAADBBC877046,96995
L11ACEFEB2D62959BB,5745
T25DC08CCFD65C20A7,68449
L28F425886F63EF99F,52146
N16A84BE488C7B2BF6,108196
N21D77EF3A198743AD,98776
S15D809FDEFC4C7661,97000
F17E62235B775897B9,113732
E219E165135032350C,119627
H270DD7AF2648CB0DA,74145
R2245E40C82DDBBDBC,91393
N2F5A587D6F52BF770,85628
B28F6304888246AF55,117529
R2FA7815D425D83983,91395
Q1C184189B90F03824,57531
P239EE78FC35A2B815,74149
R26D9C628B4E918545,17373
L2669126FE4E048F2C,63579
M2287D3709C05A69D2,52184
H2AB94A828C39C3C85,45585
N28CA0457853F61423,68456
