DATA_TYPE,CUSTOMER_ID,ITEM,ITEM_ID,cnt,MIN_DIST
MMO_FAV_S_,A12E9F3E34BCE27A06,雅樂軒酒店,MMO_FAV_S_1013,1,45
MMO_FAV_S_,Y2E72E15569FCA46F6,台北寒舍艾美酒店 探索廚房,MMO_FAV_S_139,1,70
MMO_FAV_S_,P128B8C7B37113FFC1,燦坤3C 北港店,MMO_FAV_S_1248,1,12
MMO_FAV_S_,A28466A3B81E1A896B,家樂福 中和店,MMO_FAV_S_689,1,7
MMO_FAV_S_,A2FE1486AA70A52CE5,寬心園精緻蔬食 台北安和店,MMO_FAV_S_1182,1,36
MMO_FAV_S_,Q20073A3A884E3063A,家樂福 嘉義店,MMO_FAV_S_709,1,70
MMO_FAV_S_,S2487C107737F3A677,台灣中油 [自營]仁武站,MMO_FAV_S_362,1,89
MMO_FAV_S_,F28FD4821920844C22,台灣中油 [自營]林口站刷卡自助,MMO_FAV_S_272,1,6
MMO_FAV_S_,N21A2860F735260CC5,德奧小館,MMO_FAV_S_1202,1,33
MMO_FAV_S_,Q15E2890AF6E89976A,台灣中油 [自營]布袋站,MMO_FAV_S_221,1,40
MMO_FAV_S_,F2290B5B6434266E2D,嘟嘟房 敦南誠品,MMO_FAV_S_1122,1,60
MMO_FAV_S_,Q15E2890AF6E89976A,燦坤3C 成功店,MMO_FAV_S_1251,1,40
MMO_FAV_S_,F12E4677585D817ADF,台亞加油站 林口忠孝站,MMO_FAV_S_151,1,33
MMO_FAV_S_,E2DF1D16E1FCEFDD7D,太平洋ＳＯＧＯ百貨 高雄店,MMO_FAV_S_978,1,24
MMO_FAV_S_,F1CCEFCEE9C306409C,UCC COFFEE SHOP 比漾廣場 COFFEE SHOP,MMO_FAV_S_115,1,42
MMO_FAV_S_,F20FBA4DFD60E9349D,長榮桂冠酒店 基隆館,MMO_FAV_S_619,1,13
MMO_FAV_S_,F2B7CCA10A6F7C3DB2,番樂屋 漢中一店,MMO_FAV_S_994,1,5
MMO_FAV_S_,05E555266B6D5BB4F4,台灣中油 [自營]東明路站,MMO_FAV_S_268,1,80
MMO_FAV_S_,E1C75917F7300C6CD7,新台南擔仔麵 夢時代店,MMO_FAV_S_1051,1,19
MMO_FAV_S_,F12BD307A7F031CE0B,愛買量販 忠孝店,MMO_FAV_S_1039,1,20
MMO_FAV_S_,D189A83E5FAA12D884,HOTEL COZZI台北民生館,MMO_FAV_S_36,1,4
MMO_FAV_S_,D1D78EE123C39362A9,HOTEL COZZI台南西門館,MMO_FAV_S_43,1,42
MMO_FAV_S_,D26D7EE4770CA032C0,燒肉眾日式精緻炭火燒肉 板橋文化店,MMO_FAV_S_1239,1,33
MMO_FAV_S_,K129B59CCF6A278600,燦坤3C 竹北店,MMO_FAV_S_1253,1,14
MMO_FAV_S_,H14A07EADB5A7FA751,台灣中油 [自營]長壽路站,MMO_FAV_S_296,1,6
MMO_FAV_S_,A2155B739BD80FDDA7,雲朗觀光集團飯店 台北君品酒店,MMO_FAV_S_1014,1,12
MMO_FAV_S_,N112D01B5D63B47D39,台亞加油站 福興站,MMO_FAV_S_195,1,54
MMO_FAV_S_,V1E016311F424AADEF,陽明山天籟渡假酒店,MMO_FAV_S_1012,1,44
MMO_FAV_S_,F12BD307A7F031CE0B,漢爾斯健康果汁 華納威秀,MMO_FAV_S_1142,1,20
MMO_FAV_S_,C25E6842D9EBF5DA87,廣安階 太平洋SOGO復興館,MMO_FAV_S_1193,1,81
MMO_FAV_S_,N112D01B5D63B47D39,全國電子 鹿港門市,MMO_FAV_S_546,1,54
MMO_FAV_S_,A181058F87F92D121F,家樂福 北投店,MMO_FAV_S_645,1,14
MMO_FAV_S_,A2E2D6CF58F06A7BF9,上島珈琲店 明曜百貨店,MMO_FAV_S_852,1,1
MMO_FAV_S_,Q15E2890AF6E89976A,台灣中油 [自營]中山路站,MMO_FAV_S_370,1,40
MMO_FAV_S_,F2D94A0702770E05C5,丹堤咖啡 蘆洲長榮,MMO_FAV_S_932,1,13
MMO_FAV_S_,Q15E2890AF6E89976A,台灣中油 [自營]柳林站,MMO_FAV_S_312,1,42
MMO_FAV_S_,E1C75917F7300C6CD7,伊勢屋,MMO_FAV_S_484,1,19
MMO_FAV_S_,F12BD307A7F031CE0B,新光三越百貨 台北信義新天地A9,MMO_FAV_S_1077,1,20
MMO_FAV_S_,B248F7802EC36A4263,歐客佬 莊敬店,MMO_FAV_S_1222,1,75
MMO_FAV_S_,V1E016311F424AADEF,捷絲旅 宜蘭礁溪館,MMO_FAV_S_782,1,67
MMO_FAV_S_,U12B6161E3BFEF70B6,台灣中油 [自營]蘆洲三民路加油站,MMO_FAV_S_438,1,90
MMO_FAV_S_,E1CEDA31F038E23972,總督3D數位影城,MMO_FAV_S_1298,1,5
MMO_FAV_S_,F13F9D6F4674F4FF21,上島珈琲店 忠孝敦化店,MMO_FAV_S_847,1,18
MMO_FAV_S_,M1BE405841200E0870,全國電子 莒光門市,MMO_FAV_S_542,1,44
MMO_FAV_S_,F12BD307A7F031CE0B,太平洋SOGO百貨 台北天母店,MMO_FAV_S_951,1,20
MMO_FAV_S_,T14DC419A2F1B46D86,家樂福 十全店,MMO_FAV_S_686,1,6
MMO_FAV_S_,D24C1E05C65312E4DB,西歐加油站 台北自強站,MMO_FAV_S_578,1,6
MMO_FAV_S_,P2C5A47E2F05E23A50,西班牙風味小館,MMO_FAV_S_576,1,52
MMO_FAV_S_,F28FD4821920844C22,遠東大遠百 桃園店,MMO_FAV_S_1174,1,6
MMO_FAV_S_,052A1C707BB4AC7D5D,特力屋 羅東店,MMO_FAV_S_737,1,5
MMO_FAV_S_,N1FE3EC17E21D876DE,台灣中油 [自營]東湖站,MMO_FAV_S_269,1,75
MMO_FAV_S_,N112D01B5D63B47D39,全國加油站 金馬站,MMO_FAV_S_488,1,54
MMO_FAV_S_,F2B7CCA10A6F7C3DB2,遠東大遠百 板橋中山店,MMO_FAV_S_1170,1,5
MMO_FAV_S_,F28FD4821920844C22,台灣中油 [自營]春日路站刷卡自助,MMO_FAV_S_313,1,6
MMO_FAV_S_,H28C3EDD3CCF4953CD,丹堤咖啡 高雄義大,MMO_FAV_S_888,1,88
MMO_FAV_S_,U25B247054660CC26C,HOMEHOTEL 大安館,MMO_FAV_S_35,1,41
MMO_FAV_S_,Q15E2890AF6E89976A,全國加油站 清安站,MMO_FAV_S_497,1,40
MMO_FAV_S_,A1A8FEDBEB6C8D6C44,家樂福 北投店,MMO_FAV_S_645,1,1
MMO_FAV_S_,H2C3D2D33B6514B3BC,台灣中油 [自營]天祥站,MMO_FAV_S_391,1,72
