DATA_TYPE,CUSTOMER_ID,ITEM,ITEM_ID,cnt,MIN_DIST
WEB,M19F3A5DD0366352A0,PLAY悠遊聯名卡登錄享自動加值3%現金回饋,WEB_329,1,11
WEB,N2ADBE551FD5EC7045,PLAY悠遊聯名卡登錄享自動加值3%現金回饋,WEB_329,1,20
WEB,D1B23FC9D59B707BE9,海外購物最高享2%回饋,WEB_467,1,22
WEB,H22D5CF411D5240B9D,movie_樂聲,WEB_320,1,6
WEB,N132ED65B8B6FEC5F8,刷ETC聯名卡登錄享eTag自動儲值5%現金回饋,WEB_428,1,24
WEB,E1D1ED4C29CBBCD9BD,movie_日新,WEB_294,1,2
WEB,L18017858F2AA94714,movie_國賓,WEB_231,1,27
WEB,F138CC9C8A4D669C72,刷ETC聯名卡登錄享eTag自動儲值5%現金回饋,WEB_428,1,26
WEB,A11B0FB44026BAED77,movie_ez訂,WEB_106,1,2
WEB,F229C43162DDFE6B09,BANNER_OPENPOING,WEB_1,1,18
WEB,N24E132728BE4BF536,movie_新光,WEB_302,1,4
WEB,G2F60D3BB058577C2B,BANNER_OPENPOING,WEB_1,2,11
WEB,B28C5E20EE85B78CE6,movie_國賓,WEB_231,1,24
WEB,M19F3A5DD0366352A0,TreeMall刷卡滿額，享滿仟送佰回饋,WEB_426,1,11
WEB,F2FD6A2EB5DC0FC218,PLAY悠遊聯名卡登錄享自動加值3%現金回饋,WEB_329,1,7
WEB,A213F7D4B0ABF9635B,movie_ez訂,WEB_106,1,4
WEB,P158E845AD3E725E8B,movie_國賓,WEB_231,1,21
WEB,A2421EC33F651CB9AC,BANNER_飯店精選,WEB_60,1,16
WEB,E1D1ED4C29CBBCD9BD,movie_in89,WEB_194,1,2
WEB,E1CB1F8450F737BEA2,movie_ez訂,WEB_106,1,3
WEB,A204D3328D57122843,BANNER_飯店精選,WEB_60,1,7
WEB,F148AE15159E225DA1,BANNER_OPENPOING,WEB_1,1,6
WEB,N17FF83124C19D6F29,movie_新光,WEB_302,1,27
WEB,C26FB6CF18A9FAF72B,BANNER_OPENPOING,WEB_1,1,20
WEB,F2873EFD862B2309CB,PLAY悠遊聯名卡登錄享自動加值3%現金回饋,WEB_329,1,21
WEB,A22363EA89CAB2F5A6,movie_美麗華,WEB_209,1,20
WEB,J173DF8CC85C4C93C3,movie_ez訂,WEB_106,1,18
WEB,F102F8CDC04E46FBDC,海外購物最高享2%回饋,WEB_467,1,24
WEB,B28C5E20EE85B78CE6,movie_總督,WEB_322,1,24
WEB,C2AB2C941821C4B7A9,PLAY悠遊聯名卡登錄享自動加值3%現金回饋,WEB_329,1,10
WEB,M2F9FD162A38B668AA,PLAY悠遊聯名卡登錄享自動加值3%現金回饋,WEB_329,1,27
WEB,B17C002FB9D8C5226F,PLAY悠遊聯名卡登錄享自動加值3%現金回饋,WEB_329,1,7
WEB,F20A948D98D58BA3A3,BANNER_飯店精選,WEB_60,1,19
WEB,F14A90D3F64888DBE2,movie_ez訂,WEB_106,1,13
WEB,A106D7C1C39A85565E,MyBill繳帳單，每月送咖啡,WEB_326,2,7
WEB,F28E385EFA38196F07,movie_ez訂,WEB_106,1,24
WEB,H1E4FBACAF355ED71E,BANNER_澳門酒店,WEB_103,1,4
WEB,K1C9B2D83C15F8A8C6,BANNER_飯店精選,WEB_60,1,4
WEB,h122XXXXXX,PLAY悠遊聯名卡登錄享自動加值3%現金回饋,WEB_329,1,22
WEB,A21F00F281269CBB00,movie_ez訂,WEB_106,1,18
