DATA_TYPE,CUSTOMER_ID,ITEM,ITEM_ID,cnt,MIN_DIST
MMO_FAV_P,L2C08D7D68242D4BC6,momo百貨,MMO_FAV_P_A08_8_201606,1,0
MMO_FAV_P,Q2F2F36D231236E530,燒肉珍珠堡+冰紅茶(L)乙份,MMO_FAV_P_A02_30_201606,1,0
MMO_FAV_P,B11C89F5E99A9EB724,遠傳電信,MMO_FAV_P_A06_2_201606,1,0
MMO_FAV_P,A29D9AB967518C767F,新光三越商品券,MMO_FAV_P_A07_1_201606,1,0
MMO_FAV_P,P2807B03BBB278BB44,35元飲品任選一,MMO_FAV_P_A02_3_201606,1,0
MMO_FAV_P,N2AB026F847BF64D8B,蕃茄吉士蛋堡+冰紅茶(L)乙份,MMO_FAV_P_A02_12_201606,1,0
MMO_FAV_P,Q2F2F36D231236E530,摩斯漢堡+冰紅茶(L)乙份,MMO_FAV_P_A02_27_201606,1,0
MMO_FAV_P,J2929DE044B1FFFF4A,CITYCAFE大熱拿鐵,MMO_FAV_P_A12_34_201606,1,0
MMO_FAV_P,F13F9D6F4674F4FF21,亞洲萬里通里數,MMO_FAV_P_A03_3_201606,1,0
MMO_FAV_P,R26AA7C5026C722B4C,全國電子,MMO_FAV_P_A08_54_201606,1,0
MMO_FAV_P,N241DF78ED48E536CF,35元飲品任選一,MMO_FAV_P_A02_3_201606,1,0
MMO_FAV_P,H29E99ACA1879D11E3,雞丼乙份,MMO_FAV_P_A02_19_201606,1,0
MMO_FAV_P,D24C1E05C65312E4DB,長榮航空里程,MMO_FAV_P_A03_1_201606,1,0
MMO_FAV_P,T1B1FFBC3B6346DF8D,茶葉蛋,MMO_FAV_P_A12_7_201606,1,0
MMO_FAV_P,B2F990068A8C69D37E,100元即享券乙份,MMO_FAV_P_A02_39_201608,1,0
MMO_FAV_P,A21F00F281269CBB00,新光三越百貨,MMO_FAV_P_A08_4_201606,1,0
MMO_FAV_P,S1FE50015C9C441ABB,4oz自創冰淇淋(可任選1份配料)乙份,MMO_FAV_P_A02_23_201606,1,0
MMO_FAV_P,G2FF05A03A6BFFCF2F,現金抵用券200元,MMO_FAV_P_A12_38_201606,1,0
MMO_FAV_P,H28B727ACC8BE7EEC5,iseLect檸檬水420ml,MMO_FAV_P_A02_47_201610,1,0
MMO_FAV_P,F12BD307A7F031CE0B,ATT4FUN,MMO_FAV_P_A08_15_201606,1,0
MMO_FAV_P,H2933336FC3816A3C2,現金抵用券100元,MMO_FAV_P_A12_37_201606,1,0
MMO_FAV_P,P10B3AF5E01E505566,全國電子,MMO_FAV_P_A08_54_201606,1,0
MMO_FAV_P,S21DA4BB76B48A9FA0,100元即享券乙份,MMO_FAV_P_A02_39_201608,1,0
MMO_FAV_P,K2861F2D7A3DD80AB0,50元飲品任選乙份(限To-Go門市使用),MMO_FAV_P_A02_8_201608,1,0
MMO_FAV_P,A2DE697E30CCA23E0C,外帶冰淇淋迷你杯一入,MMO_FAV_P_A02_24_201606,1,0
MMO_FAV_P,F199F45FF019A81047,香草烤半雞+四季春冰茶(L)乙份,MMO_FAV_P_A02_45_201606,1,0
MMO_FAV_P,F11B0B18BB406A115A,夏慕尼新香榭鐵板燒套餐乙份,MMO_FAV_P_A02_54_201606,1,0
MMO_FAV_P,C29487D1F5A3BCFA76,30元茶飲任選一+40元蛋糕任選一,MMO_FAV_P_A02_10_201606,1,0
MMO_FAV_P,P18C395A0FA41E9720,現金抵用券200元,MMO_FAV_P_A12_38_201606,1,0
MMO_FAV_P,A29A16B01FC7BA8919,西堤牛排$570套餐乙份,MMO_FAV_P_A02_51_201606,1,0
MMO_FAV_P,T14F35BA8B93DB1F7B,現金抵用券100元,MMO_FAV_P_A12_37_201606,1,0
MMO_FAV_P,L1DF207A83060832D8,現金抵用券100元,MMO_FAV_P_A12_37_201606,1,0
MMO_FAV_P,F2BEDC9B4294501B7E,CITYCAFE大熱拿鐵,MMO_FAV_P_A12_34_201606,1,0
MMO_FAV_P,P2058A08CBB4AC8256,太平洋百貨商品券,MMO_FAV_P_A07_2_201606,1,0
MMO_FAV_P,A23223209549645F89,薯條(S),MMO_FAV_P_A02_5_201606,1,0
MMO_FAV_P,A23FD6F6D8D9B6BA86,長榮航空里程,MMO_FAV_P_A03_1_201606,1,0
MMO_FAV_P,B24DA0D121629A23C6,中友百貨,MMO_FAV_P_A08_29_201606,1,0
MMO_FAV_P,Q23BB0E824DC137242,CITYCAFE大熱拿鐵,MMO_FAV_P_A12_34_201606,1,0
MMO_FAV_P,L24745D8D97415EA8E,摩斯漢堡+冰紅茶(L)乙份,MMO_FAV_P_A02_27_201606,1,0
MMO_FAV_P,T2642532395D0DFF36,CITYCAFE中冰美式,MMO_FAV_P_A12_25_201606,1,0
MMO_FAV_P,S1A5DF8189E1A11490,CITYCAFE大冰拿鐵,MMO_FAV_P_A12_35_201606,1,0
MMO_FAV_P,F2D57F1B2D82F8F3EE,總匯吉士火烤雞腿堡豪華套餐,MMO_FAV_P_A02_59_201608,1,0
MMO_FAV_P,E28B82A0316FCDE36D,4oz自創冰淇淋(可任選1份配料)乙份,MMO_FAV_P_A02_23_201606,1,0
MMO_FAV_P,F1D39F61E6D5A5D41D,500元乙份即享券,MMO_FAV_P_A02_69_201608,1,0
MMO_FAV_P,T2A33E7D2C2656DB17,太平洋百貨商品券,MMO_FAV_P_A07_2_201606,1,0
MMO_FAV_P,S28FDAE91D8972AAD9,雞丼乙份,MMO_FAV_P_A02_19_201606,1,0
MMO_FAV_P,A12DEFC4776CEE87ED,CITYCAFE大冰美式,MMO_FAV_P_A12_29_201606,1,0
MMO_FAV_P,V243087DBBC4F589E4,磅蛋糕禮盒兌換券,MMO_FAV_P_A02_66_201608,1,0
MMO_FAV_P,L1744F02AC8A0BD45D,中華電信,MMO_FAV_P_A08_52_201606,1,0
MMO_FAV_P,K28FDE33B9C26F220C,中華電信,MMO_FAV_P_A06_1_201606,1,0
MMO_FAV_P,F280D6BD1567E8CC56,外帶冰淇淋迷你杯一入,MMO_FAV_P_A02_24_201606,1,0
MMO_FAV_P,A209186AAA23008A7E,中華航空里程,MMO_FAV_P_A03_2_201606,1,0
MMO_FAV_P,P1875FC470F01B79C2,中華電信,MMO_FAV_P_A08_52_201606,1,0
MMO_FAV_P,S271C5F32741AA0BD7,西堤牛排$570套餐乙份,MMO_FAV_P_A02_51_201606,1,0
MMO_FAV_P,T1D21F3A5197C4B27F,現金抵用券100元,MMO_FAV_P_A12_37_201606,1,0
MMO_FAV_P,N1A1B0DCE1E65816F9,現金抵用券100元,MMO_FAV_P_A12_37_201606,1,0
MMO_FAV_P,H232E4335728A0D1F3,藝奇新日本料理套餐乙份,MMO_FAV_P_A02_52_201606,1,0
MMO_FAV_P,L2F811C6DAFF3C02DE,長榮航空亞洲線來回機票,MMO_FAV_P_A03_17_201606,1,0
MMO_FAV_P,A2C56C3456EA7329F9,華堡豪華套餐,MMO_FAV_P_A02_61_201608,1,0
MMO_FAV_P,T104B045AAA3EEB386,香草烤半雞+炸雞+鮮蔬沙拉+四季春冰茶(L)x2 ,MMO_FAV_P_A02_64_201608,1,0
MMO_FAV_P,E2DF1D16E1FCEFDD7D,王品牛排$1485套餐乙份,MMO_FAV_P_A02_55_201606,1,0
MMO_FAV_P,P13D674AF62C09FAC6,中華航空里程,MMO_FAV_P_A03_2_201606,1,0
MMO_FAV_P,F175E0E1B6DAC9E136,CITYCAFE大冰美式,MMO_FAV_P_A12_29_201606,1,0
MMO_FAV_P,F288857B48002A9032,中華電信,MMO_FAV_P_A06_1_201606,1,0
MMO_FAV_P,G263D58DF0E0048AA8,Lays樂事美國經典原味洋芋片(袋),MMO_FAV_P_A02_49_201610,1,0
MMO_FAV_P,G14EFC4E24A9D7FDFF,薑燒珍珠堡+薯條(L)+冰紅茶(L)乙份,MMO_FAV_P_A02_40_201606,1,0
MMO_FAV_P,R19BC37722C6D8C6B9,現金抵用券200元,MMO_FAV_P_A12_38_201606,1,0
MMO_FAV_P,T13193FDA18BD4FEA8,CITYCAFE中冰美式,MMO_FAV_P_A12_25_201606,1,0
MMO_FAV_P,J210AD8A6C9D2A557A,CITYCAFE大熱拿鐵,MMO_FAV_P_A12_34_201606,1,0
MMO_FAV_P,E2063455E0715CC127,新光三越商品券,MMO_FAV_P_A07_1_201606,1,0
MMO_FAV_P,B254E291CA1F217190,現金抵用券30元,MMO_FAV_P_A12_36_201606,1,0
MMO_FAV_P,Q2AEAB0517CCDFFEFC,台灣大哥大,MMO_FAV_P_A08_58_201606,1,0
MMO_FAV_P,U20789C65E742BC8AA,長榮航空里程,MMO_FAV_P_A03_1_201606,1,0
MMO_FAV_P,R23257CC2D21068C8C,台灣高鐵升等商務車廂,MMO_FAV_P_A03_12_201606,1,0
MMO_FAV_P,L1986C0E475EFD0CE9,中華電信,MMO_FAV_P_A06_1_201606,1,0
